ID,Age,Masked,Vaccinate,Initial_Status
397,54,Yes,No,Susceptible
398,60,Yes,No,Susceptible
399,8,No,Yes,Exposed
400,53,Yes,Yes,Infectious
401,60,No,No,Susceptible
402,5,No,Yes,Susceptible
403,68,Yes,Yes,Susceptible
404,6,Yes,No,Exposed
405,47,Yes,No,Recovered
406,55,No,Yes,Infectious
407,40,Yes,No,Susceptible
408,52,No,No,Susceptible
409,16,Yes,No,Susceptible
410,13,Yes,Yes,Susceptible
411,30,Yes,No,Susceptible
412,19,Yes,No,Infectious
413,17,No,No,Susceptible
414,63,No,Yes,Susceptible
415,19,Yes,Yes,Susceptible
416,58,No,Yes,Susceptible
417,55,No,No,Susceptible
418,62,Yes,Yes,Susceptible
419,23,Yes,Yes,Susceptible
420,9,No,Yes,Susceptible
421,12,Yes,No,Susceptible
422,1,Yes,No,Susceptible
423,58,No,No,Susceptible
424,1,Yes,No,Susceptible
425,34,No,No,Susceptible
426,48,Yes,Yes,Susceptible
427,89,Yes,No,Susceptible
428,1,Yes,No,Recovered
429,16,Yes,No,Susceptible
430,61,Yes,Yes,Susceptible
431,64,Yes,No,Susceptible
432,63,No,Yes,Susceptible
433,69,Yes,Yes,Recovered
434,22,Yes,No,Susceptible
435,67,Yes,No,Recovered
436,76,Yes,Yes,Susceptible
437,26,Yes,No,Susceptible
438,16,No,No,Infectious
439,51,No,Yes,Susceptible
440,86,Yes,Yes,Susceptible
441,57,Yes,No,Recovered
442,29,No,No,Susceptible
443,78,Yes,Yes,Susceptible
444,69,Yes,No,Susceptible
445,47,Yes,No,Susceptible
446,62,Yes,Yes,Susceptible
447,69,Yes,Yes,Susceptible
448,76,No,Yes,Susceptible
449,16,Yes,Yes,Susceptible
450,48,Yes,No,Susceptible
451,85,No,Yes,Susceptible
452,39,No,No,Susceptible
453,33,No,Yes,Exposed
454,23,No,Yes,Susceptible
455,10,Yes,Yes,Susceptible
456,69,Yes,Yes,Susceptible
457,34,Yes,No,Infectious
458,52,Yes,Yes,Susceptible
459,10,Yes,No,Susceptible
460,19,Yes,Yes,Susceptible
461,58,Yes,Yes,Susceptible
462,1,Yes,Yes,Susceptible
463,69,Yes,No,Susceptible
464,4,Yes,Yes,Susceptible
465,16,No,Yes,Susceptible
466,24,Yes,Yes,Susceptible
467,80,No,Yes,Susceptible
468,2,Yes,Yes,Susceptible
469,32,No,No,Recovered
470,84,Yes,No,Susceptible
471,24,No,No,Susceptible
472,12,Yes,Yes,Susceptible
473,50,Yes,No,Susceptible
474,35,No,Yes,Susceptible
475,33,Yes,Yes,Susceptible
476,33,Yes,Yes,Susceptible
477,61,Yes,No,Susceptible
478,51,Yes,Yes,Exposed
479,43,No,Yes,Susceptible
480,12,No,Yes,Exposed
481,67,Yes,No,Susceptible
482,65,Yes,No,Susceptible
483,33,Yes,Yes,Susceptible
484,40,Yes,Yes,Susceptible
485,74,Yes,No,Susceptible
486,43,Yes,No,Susceptible
487,44,Yes,Yes,Susceptible
488,29,Yes,No,Susceptible
489,13,No,Yes,Susceptible
490,12,Yes,Yes,Infectious
491,46,Yes,No,Infectious
492,2,Yes,Yes,Susceptible
493,35,No,Yes,Susceptible
494,87,Yes,Yes,Susceptible
495,81,No,Yes,Susceptible
496,8,Yes,No,Susceptible
497,26,No,No,Susceptible
498,74,No,Yes,Susceptible
499,34,No,No,Susceptible
500,7,Yes,No,Susceptible
501,68,No,No,Susceptible
502,58,Yes,No,Susceptible
503,75,No,No,Susceptible
504,29,Yes,Yes,Susceptible
505,36,Yes,No,Susceptible
506,89,Yes,Yes,Susceptible
507,21,No,No,Susceptible
508,36,No,No,Recovered
509,10,No,Yes,Infectious
510,73,Yes,No,Susceptible
511,24,No,Yes,Susceptible
512,64,Yes,No,Recovered
513,49,No,Yes,Susceptible
514,36,Yes,No,Susceptible
515,82,Yes,No,Susceptible
516,24,Yes,Yes,Susceptible
517,23,Yes,Yes,Susceptible
518,62,No,No,Susceptible
519,37,No,Yes,Recovered
520,12,No,No,Susceptible
521,55,Yes,No,Susceptible
522,13,Yes,Yes,Susceptible
523,23,Yes,Yes,Susceptible
524,89,Yes,No,Susceptible
525,30,Yes,Yes,Susceptible
526,17,Yes,Yes,Susceptible
527,62,Yes,No,Susceptible
528,84,No,No,Susceptible
529,89,Yes,No,Susceptible
530,86,Yes,Yes,Infectious
531,13,No,No,Susceptible
532,59,Yes,No,Susceptible
533,19,Yes,No,Susceptible
534,49,No,Yes,Susceptible
535,12,No,Yes,Susceptible
536,61,Yes,No,Susceptible
537,19,Yes,No,Susceptible
538,76,Yes,Yes,Susceptible
539,9,Yes,Yes,Susceptible
540,71,No,Yes,Susceptible
541,28,No,Yes,Susceptible
542,78,Yes,No,Susceptible
543,52,No,No,Susceptible
544,83,Yes,Yes,Susceptible
545,16,Yes,Yes,Exposed
546,69,Yes,No,Susceptible
547,12,Yes,Yes,Recovered
548,25,Yes,No,Recovered
549,52,No,No,Susceptible
550,85,Yes,Yes,Exposed
551,53,Yes,No,Exposed
552,23,No,Yes,Susceptible
553,16,Yes,Yes,Susceptible
554,57,Yes,Yes,Susceptible
555,39,Yes,Yes,Susceptible
556,53,Yes,No,Susceptible
557,42,Yes,Yes,Susceptible
558,58,Yes,No,Infectious
559,39,Yes,Yes,Susceptible
560,14,Yes,Yes,Susceptible
561,5,Yes,Yes,Infectious
562,35,No,Yes,Susceptible
563,87,Yes,No,Susceptible
564,75,Yes,No,Susceptible
565,18,No,No,Susceptible
566,76,Yes,Yes,Susceptible
567,9,Yes,No,Susceptible
568,74,Yes,No,Susceptible
569,58,Yes,No,Susceptible
570,17,Yes,No,Infectious
571,7,No,No,Susceptible
572,46,No,Yes,Infectious
573,13,No,No,Exposed
574,40,No,No,Susceptible
575,42,No,No,Susceptible
576,9,No,No,Susceptible
577,50,Yes,Yes,Susceptible
578,27,Yes,Yes,Susceptible
579,66,Yes,No,Recovered
580,5,Yes,Yes,Susceptible
581,29,Yes,No,Susceptible
582,37,Yes,No,Susceptible
583,38,Yes,No,Susceptible
584,83,Yes,Yes,Susceptible
585,8,Yes,Yes,Susceptible
586,65,Yes,No,Exposed
587,86,Yes,No,Infectious
588,17,Yes,Yes,Recovered
589,71,Yes,Yes,Susceptible
590,89,Yes,Yes,Recovered
591,45,Yes,No,Susceptible
592,4,Yes,Yes,Susceptible
593,36,No,No,Susceptible
594,70,No,No,Susceptible
595,31,Yes,No,Recovered
596,19,Yes,No,Susceptible
597,61,Yes,Yes,Infectious
598,54,Yes,Yes,Susceptible
599,39,Yes,Yes,Infectious
600,74,Yes,No,Susceptible
601,19,Yes,No,Susceptible
602,39,Yes,Yes,Susceptible
603,67,No,No,Susceptible
604,45,Yes,No,Susceptible
605,13,Yes,Yes,Susceptible
606,58,Yes,No,Exposed
607,20,Yes,Yes,Exposed
608,72,Yes,No,Susceptible
609,61,No,Yes,Susceptible
610,39,Yes,Yes,Susceptible
611,1,Yes,Yes,Susceptible
612,3,No,Yes,Susceptible
613,77,Yes,No,Susceptible
614,62,Yes,Yes,Exposed
615,63,Yes,No,Infectious
616,25,No,No,Susceptible
617,56,No,No,Infectious
618,33,Yes,Yes,Susceptible
619,38,Yes,No,Susceptible
620,6,Yes,Yes,Susceptible
621,58,No,No,Susceptible
622,44,Yes,Yes,Susceptible
623,45,Yes,No,Susceptible
624,32,Yes,No,Susceptible
625,45,No,No,Susceptible
626,61,No,Yes,Recovered
627,47,Yes,Yes,Susceptible
628,21,Yes,Yes,Infectious
629,80,No,Yes,Susceptible
630,85,Yes,No,Susceptible
631,75,Yes,Yes,Susceptible
632,36,Yes,Yes,Susceptible
633,19,Yes,Yes,Susceptible
634,20,Yes,Yes,Susceptible
635,57,Yes,No,Recovered
636,18,No,Yes,Susceptible
637,47,Yes,No,Susceptible
638,49,Yes,Yes,Susceptible
639,14,Yes,Yes,Susceptible
640,15,Yes,Yes,Susceptible
641,31,Yes,No,Susceptible
642,1,Yes,Yes,Susceptible
643,54,Yes,No,Susceptible
644,3,No,Yes,Exposed
645,16,Yes,No,Susceptible
646,87,No,Yes,Susceptible
647,57,No,No,Susceptible
648,75,No,No,Susceptible
649,12,No,No,Susceptible
650,74,No,Yes,Recovered
651,16,Yes,Yes,Susceptible
652,72,Yes,Yes,Susceptible
653,76,No,Yes,Susceptible
654,24,Yes,Yes,Susceptible
655,28,Yes,Yes,Susceptible
656,8,Yes,Yes,Susceptible
657,36,Yes,Yes,Susceptible
658,8,Yes,Yes,Infectious
659,58,Yes,No,Infectious
660,60,No,No,Susceptible
661,50,No,No,Susceptible
662,28,No,No,Susceptible
663,41,Yes,Yes,Susceptible
664,64,Yes,No,Susceptible
665,27,No,Yes,Susceptible
666,63,Yes,No,Susceptible
667,17,No,No,Susceptible
668,73,Yes,Yes,Susceptible
669,33,Yes,No,Susceptible
670,84,No,Yes,Susceptible
671,77,Yes,Yes,Susceptible
672,29,No,Yes,Susceptible
673,13,Yes,Yes,Susceptible
674,46,No,No,Susceptible
675,35,Yes,No,Susceptible
676,6,No,No,Susceptible
677,82,Yes,Yes,Susceptible
678,69,Yes,Yes,Susceptible
679,47,Yes,Yes,Susceptible
680,25,Yes,Yes,Susceptible
681,66,Yes,Yes,Susceptible
682,10,Yes,Yes,Susceptible
683,56,Yes,No,Susceptible
684,30,Yes,Yes,Susceptible
685,5,Yes,No,Susceptible
686,33,Yes,No,Recovered
687,65,Yes,Yes,Susceptible
688,18,Yes,Yes,Susceptible
689,49,No,No,Recovered
690,11,Yes,No,Susceptible
691,85,Yes,No,Susceptible
692,26,No,Yes,Infectious
693,63,No,No,Susceptible
694,89,Yes,Yes,Susceptible
695,86,No,Yes,Susceptible
696,59,Yes,Yes,Susceptible
697,27,Yes,Yes,Susceptible
698,49,Yes,No,Susceptible
699,77,Yes,Yes,Infectious
700,33,Yes,Yes,Susceptible
701,1,Yes,No,Susceptible
702,21,Yes,Yes,Susceptible
703,55,No,Yes,Susceptible
704,6,Yes,No,Susceptible
705,81,Yes,No,Susceptible
706,69,Yes,Yes,Susceptible
707,5,No,No,Susceptible
708,3,No,No,Susceptible
709,53,Yes,Yes,Infectious
710,23,No,No,Exposed
711,53,No,Yes,Susceptible
712,37,Yes,No,Susceptible
713,74,Yes,No,Susceptible
714,74,Yes,Yes,Susceptible
715,83,Yes,No,Susceptible
716,17,Yes,No,Susceptible
717,85,No,Yes,Susceptible
718,78,Yes,No,Susceptible
719,73,Yes,Yes,Susceptible
720,1,No,No,Susceptible
721,51,Yes,No,Susceptible
722,45,Yes,Yes,Infectious
723,77,Yes,No,Susceptible
724,4,Yes,No,Susceptible
725,62,Yes,No,Susceptible
726,65,Yes,No,Susceptible
727,32,Yes,No,Exposed
728,34,Yes,Yes,Susceptible
729,72,No,Yes,Infectious
730,39,Yes,No,Recovered
731,26,Yes,Yes,Susceptible
732,34,Yes,No,Susceptible
733,54,Yes,No,Susceptible
734,3,No,Yes,Exposed
735,50,No,Yes,Susceptible
736,12,Yes,No,Recovered
737,65,Yes,No,Susceptible
738,54,Yes,Yes,Susceptible
739,5,Yes,Yes,Susceptible
740,57,Yes,No,Susceptible
741,17,No,No,Susceptible
742,47,No,Yes,Susceptible
743,23,Yes,No,Susceptible
744,79,Yes,No,Susceptible
745,85,Yes,Yes,Susceptible
746,14,Yes,Yes,Susceptible
747,66,Yes,No,Susceptible
748,75,Yes,Yes,Susceptible
749,51,Yes,Yes,Exposed
750,38,Yes,No,Susceptible
751,64,No,Yes,Susceptible
752,38,Yes,No,Susceptible
753,50,Yes,Yes,Susceptible
754,82,Yes,Yes,Recovered
755,30,Yes,Yes,Susceptible
756,79,No,Yes,Susceptible
757,51,Yes,No,Susceptible
758,63,Yes,No,Susceptible
759,52,Yes,No,Susceptible
760,38,Yes,Yes,Susceptible
761,88,Yes,No,Susceptible
762,79,No,No,Susceptible
763,30,No,No,Susceptible
764,51,Yes,No,Recovered
765,81,No,Yes,Susceptible
766,5,No,No,Susceptible
767,29,Yes,Yes,Susceptible
768,4,Yes,No,Susceptible
769,10,Yes,No,Susceptible
770,56,No,Yes,Susceptible
771,17,No,Yes,Susceptible
772,74,Yes,Yes,Susceptible
773,17,No,Yes,Susceptible
774,84,Yes,No,Susceptible
775,88,Yes,Yes,Exposed
776,69,Yes,Yes,Susceptible
777,34,Yes,No,Susceptible
778,6,Yes,No,Exposed
779,53,Yes,Yes,Susceptible
780,66,Yes,No,Susceptible
781,77,Yes,Yes,Susceptible
782,43,Yes,No,Susceptible
783,75,No,No,Exposed
784,23,Yes,Yes,Susceptible
785,55,Yes,No,Susceptible
786,80,Yes,No,Infectious
787,75,No,No,Recovered
788,16,Yes,Yes,Susceptible
789,8,Yes,Yes,Susceptible
790,4,No,Yes,Susceptible
791,4,Yes,Yes,Susceptible
792,56,Yes,Yes,Susceptible
793,25,Yes,No,Infectious
794,67,Yes,Yes,Susceptible
795,67,Yes,No,Susceptible
796,27,Yes,Yes,Susceptible
797,32,No,No,Susceptible
798,50,No,Yes,Exposed
799,61,Yes,Yes,Recovered
800,51,Yes,Yes,Susceptible
801,19,No,No,Susceptible
802,21,No,Yes,Susceptible
803,5,Yes,No,Susceptible
804,82,Yes,Yes,Susceptible
805,42,Yes,No,Susceptible
806,61,Yes,No,Susceptible
807,22,No,Yes,Susceptible
808,21,No,No,Susceptible
809,70,No,Yes,Susceptible
810,1,Yes,Yes,Susceptible
811,5,Yes,No,Susceptible
812,12,Yes,No,Susceptible
813,46,No,No,Susceptible
814,34,Yes,No,Susceptible
815,49,No,No,Susceptible
816,78,Yes,Yes,Susceptible
817,45,Yes,Yes,Susceptible
818,27,No,Yes,Susceptible
819,73,Yes,No,Susceptible
820,26,Yes,Yes,Susceptible
821,47,No,Yes,Susceptible
822,86,Yes,Yes,Exposed
823,56,No,Yes,Susceptible
824,63,No,No,Susceptible
825,48,Yes,Yes,Susceptible
826,61,Yes,No,Susceptible
827,81,Yes,Yes,Recovered
828,26,No,Yes,Exposed
829,36,Yes,Yes,Susceptible
830,1,Yes,No,Susceptible
831,8,Yes,Yes,Susceptible
832,52,No,Yes,Susceptible
833,79,No,No,Susceptible
834,47,Yes,Yes,Susceptible
835,56,No,Yes,Exposed
836,86,Yes,Yes,Susceptible
837,14,Yes,No,Susceptible
838,28,Yes,No,Susceptible
839,87,Yes,Yes,Susceptible
840,78,No,No,Susceptible
841,88,Yes,No,Susceptible
842,2,No,No,Susceptible
843,26,No,No,Susceptible
844,14,Yes,No,Susceptible
845,59,Yes,No,Susceptible
846,56,Yes,No,Recovered
847,7,Yes,No,Susceptible
848,3,No,No,Susceptible
849,23,Yes,No,Susceptible
850,18,Yes,Yes,Susceptible
851,38,No,Yes,Susceptible
852,15,Yes,Yes,Susceptible
853,64,Yes,Yes,Susceptible
854,89,Yes,Yes,Susceptible
855,28,Yes,No,Susceptible
856,74,No,No,Susceptible
